BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,RICH OIL FLOW(M3/hr),STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,COG Generation,DISTILLATION COLUMN MIDDLE TEMP,FGC OUTLET GAS TEMP
°C,°C,kpa,kpa,TPH,°C,°C,°C,TON,MT,°C,°C
27.58,35.97,3.12,1.17,2.41,340.52,94.27,168.22,26.09,0,97.12,27.58
27.39,36.58,3.35,1.15,2.41,341.95,94.3,168.92,27.43,0,99.59,27.39
27.59,37.54,2.36,1.14,2.4,339.89,94.29,168.18,26.01,0,97.03,27.59
28.11,36.7,2.54,1.2,2.33,338.7,94.03,167.7,25.11,0,95.6,28.11
28.6,36.13,2.63,1.19,2.37,339,94.3,167,25.29,0,96.4,28.6
28,35.91,2.22,1.82,2.41,337.9,94.4,164,22.64,0,95.9,28
28.6,35.95,2.9,1.82,2.36,330.9,94.29,159.4,23.26,0,95.6,28.6
28.9,36.27,2.27,1.21,2.39,330.9,94.3,164.9,23.25,0,96.3,28.9
28.98,36.08,2.56,1.3,2.33,334.71,94.28,166.43,24.42,0,96.45,28.98
28.2,36.37,2.7,1.28,2.35,337.08,93.92,168.1,25.04,0,96.72,28.2
27.52,35.16,2.83,1.14,2.39,335.91,94.26,169.14,25.83,0,98.32,27.52
27.4,35.91,2.7,1.25,2.4,336.04,94.28,170.323,25.2,0,101.12,27.4
28.29,35.58,2.9,1.32,2.4,339.66,94.29,168.82,25.2,0,98.21,28.29
27.65,36.91,3.7,1.28,2.37,335.04,94.26,166.67,24.14,0,96.6,27.65
27.2,35.02,2.86,1.24,2.36,326.5,94.29,162.23,25.29,0,94.9,27.2
27.83,35.33,2.84,1.1,2.39,333.1,94.27,165.5,25.74,0,96.13,27.83
27.89,35.72,3.61,1.09,2.4,334.63,94.21,166.77,26.98,0,97.31,27.89
28.19,35.29,3.56,1.18,2.37,335.17,94.1,166.8,27.42,0,98.2,28.19
28.2,35.95,3.29,1.38,2.36,346.45,94.08,166.85,26.28,0,96.65,28.2
28.07,34.83,3.6,1.46,2.36,333.86,94.3,163.36,27.15,0,96.68,28.07
28.15,34.95,3.73,1.47,2.37,333.56,94.28,164.8,27.51,0,95.38,28.15
27.95,34.62,3.64,1.42,2.37,327.57,94.29,164.09,26.9,0,96.38,27.95
27.88,35.87,3.92,1.43,2.38,328.44,94.37,164.77,28.21,0,96.27,27.88
28.24,35.91,4.09,1.42,2.37,333.29,94.38,164.17,28.39,0,96.22,28.24
27.89,35.91,3.73,1.59,2.39,337.4,94.59,167.04,28.74,0,96.31,27.89
27.73,35.41,3.67,1.14,2.39,344.91,94.6,167.38,28.56,0,97.26,27.73
28.01,35.91,3.85,1,2.38,339.07,94.3,168.99,28.65,0,97.19,28.01
24.39,35.84,2.75,1.3,2.38,292.65,0,0,0,0,0,0
27.98,36.4,2.73,1.36,2.38,338.41,94.27,168,24.89,0,0,0
28.4,35.98,2.59,1.39,2.37,335.2,94.25,163.68,24.07,0,0,0
27.78,35.68,3.17,1.21,2.38,334.31,94.24,166.08,25.71,0,0,0
28.05,35.43,3.71,1.45,2.37,334.37,94.33,165.01,27.6,0,94.54,0
0,30.76,2.3,0.3,175.47,38.24,318.18,0,0,3034.63,94.75,0
0,30,2.08,0.3,179.03,38.5,331.31,0,0,3260.63,94.67,0
0,31.2,2.47,0.3,180.8,38.77,335.02,0,0,3225.02,95.22,0
0,31.6,2.3,0.32,180.68,39.48,331.09,0,0,3277.71,95.42,0
0,31.3,2.2,0.32,182.72,39.48,340.37,0,0,3353.03,95.48,0
0,31.33,1.77,0.31,184.8,40.03,345.4,0,0,3349.09,80.84,0
0,30,1.9,0.16,139.13,19.62,221.39,0,0,3367.14,91.15,0
0,30.8,2.19,0.29,182.57,39.2,320.17,0,0,3290.59,95.14,0
0,30.62,2.11,0.3,173.89,37.26,330.4,0,0,3270.37,95.28,0
0,31.2,2.04,0.3,185.22,39.18,337.55,0,0,3364.11,95.72,0
0,31.29,2.15,0.31,180.18,39.85,336.63,0,0,3283.43,94.67,0
0,30.7,2.32,0.32,181.92,39.42,335.92,0,0,3220.95,95.15,0
0,30.79,2.31,0.32,182.01,40.31,339.14,0,0,3202.49,94.86,0
0,30.62,2.42,0.32,181.47,40.18,338.47,0,0,3211.91,94.78,0
0,30,2.34,0.3,182.96,39.97,343.51,0,0,3202.74,94.33,0
0,30.2,1.95,0.3,181.04,38.98,332.1,0,0,3173.66,0,0
0,32.9,1.94,0.26,99.14,25.97,297.2,0,0,3281.18,0,0
0,31.54,1.92,0.31,174.93,37.19,314.32,0,0,3332.66,0,0
0,31.8,2.1,0.3,181.34,30.99,331.9,0,0,3328.14,0,0
0,30.19,2,0.31,183.46,34.14,338.62,0,0,3350.25,78.85,0
0,30.41,1.88,0.3,183.13,38.69,336.39,0,0,3330.71,95.4,0
0,30.32,2.2,0.31,182.81,38.96,333.02,0,0,3281.59,94.63,0
0,30.29,2.11,0.32,183.87,38.43,334.8,0,0,3267.22871,94.81,0
0,30.7,2.05,0.32,182.91,39.76,331.4,0,0,101284.09,94.58,0
0,30.25,1.96,0.31,182.64,40.11,327.42,0,0,0,94.69,0
0,30.9,2,0.31,191.45,40.95,324.33,0,0,0,94.51,0
0,30.41,1.96,0.32,182.69,38.71,331.35,0,0,0,94.43,0
0,29.83,1.83,0.32,183.87,37.65,332.9,0,0,0,94.19,0
0,30.16,2.02,0.3,185.58,38.17,334.86,0,0,3319.72,94.5,0
0,30.54,2.1,0.3,183.31,39.03,328.51,0,0,3347.15,94.25,0
0,30.48,2.11,0.3,184.35,39.37,328.29,0,0,3274.6,94.06,0
0,30.7,2.41,0.3,184.64,38.94,331.09,0,0,3291.34,94.34,0
0,29.66,2.2,0.31,185.84,39.29,328.71,0,0,3295.74,94.27,0
0,31.6,2.25,0.32,184.49,39.15,324.41,0,0,3291.33,94.92,0
0,31.01,2.09,0.3,186.74,39.16,319.23,0,0,3313.36,94.3,0
0,30,1.9,0.31,181.13,38.2,314.08,0,0,3287.71,94.51,0
0,30.29,2.06,0.31,185.67,39.47,321.72,0,0,3204.52,94.33,0
0,30.62,2.06,0.31,180.72,38.75,326.72,0,0,3216.28,94.66,0
0,30.8,2.01,0.31,180.23,39.48,334.88,0,0,3177.42,93.42,0
0,30.8,2,0.31,180.9,39.31,335.22,0,0,3195.85,94.17,0
0,31.04,2.37,0.31,181.5,38.88,332.61,0,0,3255.42,94.92,0
0,31.08,2.31,0.31,182.71,39.07,330.86,0,0,3264.66,94.43,0
0,30.95,2.24,0.3,182.9,39.44,331.29,0,0,3283.39,95.18,0
0,30.25,2.45,0.31,182.82,38.97,330.84,0,0,3274.2,95.03,0
0,31.7,2.31,0.31,183.79,39.11,333.66,0,0,3280.52,95.3,0
0,31.5,2.4,0.31,184.62,38.85,332.02,0,0,3188.47,95.1,0
0,30.73,2.07,0.3,184.29,38.77,331.55,0,0,3176.92,94.39,0
0,31,1.9,0.3,185.2,38.22,330.52,0,0,2867.97,94.51,0
0,30.42,2,0.3,183.56,38.62,331.92,0,0,3079.09,94.61,0
0,31,1.96,0.3,179.35,39.45,330.68,0,0,2923.97,94.98,0
0,31.4,1.97,0.3,180.85,38.68,326.33,0,0,3087.43,94.8,0
0,31.95,2.33,0.3,180.76,38.37,325.78,0,0,3133.05,94.6,0
0,31.95,2.7,0.3,181.73,38.63,325.04,0,0,3234.52,94.9,0
0,32.29,2.52,0.31,182.25,38.79,323.67,0,0,3267.66,94.63,0
0,32.12,2.71,0.31,182.55,39.03,324.8,0,0,3279.63,93.9,0
0,32.58,2.37,0.31,181.6,40.31,322.75,0,0,3275.57,94.42,0
0,31.7,2.2,0.31,183.21,39.13,327,0,0,3217.410357,95.08,0
0,31.66,2.32,0.31,182.42,39.09,334.38,0,0,90087.49,95.28,0
0,31.75,2.28,0.29,185.27,38.87,336.41,0,0,0,156.77,0
0,32.5,2.33,0.3,185.02,39.02,335.36,0,0,0,155.8,0
0,32.66,2.29,0.3,185.54,39.35,336.19,0,0,0,156.53,0
0,32.45,2.3,0.3,186.33,39.28,337.4,0,0,0,155.52,0
0,31.75,2.12,0.3,185.01,39.09,336.43,0,0,0,154.75,0
0,32.45,2.07,0.3,180.42,39.39,335.02,0,0,0,155.86,0
0,32.75,2.15,0.31,181.21,39.29,335.56,0,0,0,156.02,0
0,34.94,2.12,0.28,165.28,35.76,304.4,0,0,3322.07,154.12,0
0,32.25,0.73,0.23,152.62,28.12,288.36,0,0,3318.43,155.24,0
0,31.28,1.2,0.29,182.65,39.69,334.12,0,0,3331.88,154.56,0
0,32.58,1.21,0.31,183.17,39.36,335.02,0,0,3388.07,141.65,0
0,32.45,1.57,0.31,182.99,39.34,334.2,0,0,3425.22,137.7,0
0,32.2,1.77,0.32,183.66,40,332.68,0,0,3401.03,156.72,0
0,32.41,1.8,0.32,183.74,39.68,331.81,0,0,3388.43,158.17,0
0,33.6,2.11,0.31,183.35,38.85,329.28,0,0,3218.05,157.3,0
0,33.17,2.19,0.31,183.41,38.94,330.31,0,0,3192.95,157.7,0
0,32.6,2.21,0.31,183.34,40.01,342.24,0,0,3303.61,156.58,0
0,31.92,2.35,0.31,185.43,39.96,346.71,0,0,3048.3,155.55,0
0,33.91,2.27,0.32,184.7,40.2,339.58,0,0,2727.02,155.3,0
0,33.29,2,0.3,182.96,39.68,335.38,0,0,2943.73,155.65,0
0,32.95,1.7,0.3,183.84,39.67,334.12,0,0,3107.37,163.75,0
0,33.12,2.12,0.31,182.32,40.22,327.04,0,0,3090.02,164.92,0
0,34.16,2.49,0.31,181.37,40.2,322.75,0,0,3259.08,155.61,0
0,33.1,2.28,0.31,141.1,21,19.16,0,0,3308.47,156.37,0
0,33.42,2.13,0.17,168.86,38.04,318.81,0,0,3347.56,153.56,0
0,34.2,2.02,0.29,180.98,39.79,323.41,0,0,3358.79,152.56,0
0,34.54,2.34,0.3,181.91,40.16,324,0,0,3451.47,124,0
0,33.29,2.34,0.29,185.23,39.85,334.99,0,0,3396.31,148.13,0
30.26,34.04,2.16,0.3,185.43,41.12,333.84,0,0,3409.44,150.64,0
30.22,33.12,2.36,0.3,184.3,40.45,334.96,0,0,3071.89,151.72,0
30.53,32.79,2.34,0.3,184.61,40.48,335.3,0,0,3305.51,154.11,0
30.31,33.3,2.47,0.3,183.2,40.48,34.29,0,0,3434.42,96.22,0
30.12,32.9,2.46,0.3,183.2,40.48,334.29,0,0,3444.2,95.53,0
30.08,33.5,2.53,0.31,184.78,40.25,340.96,0,0,3435.7,95.43,0
29.95,33.5,2.57,0.31,184.4,40.05,341.15,0,0,3416.27,95.4,0
30.88,33.07,2.67,0.31,185.85,40.21,340.8,0,0,3417.64,85.4,0
32.69,32.83,2.71,0.28,185.31,39.46,348.92,0,0,3420.54,95.18,0
32.15,32.78,2.78,0,0,0,0,0,0,3295.500968,95.01,0
29.5,32.23,2.75,0.3,184.2,39.5,345.9,0,0,0,95.4,0
30.6,32,2.5,0.3,185.43,41.12,333.84,0,0,3407.24,95.01,0
30.6,31.7,2.51,0.31,184.63,41.09,341.26,0,0,3427.82,94.6,0
30.8,31.69,2.86,0.28,185.43,40.7,359.82,0,0,3424,96.22,0
30.75,32,2.86,0.28,184.24,40.31,359.21,0,0,3437.96,94.9,0
30.28,32.04,2.77,0.24,186.3,40.42,363.5,0,0,3387.2,95.38,0
30.12,32.91,3.19,0.24,186.92,41.35,358.16,0,0,3485.38,95.44,0
31.04,31.83,3.07,0.29,187.48,41.71,335.38,0,0,3440.41,95.33,0
30.5,32.05,3.01,0.3,186.24,41.61,334.89,0,0,3433.02,95.28,0
31.29,32.33,3.15,0.3,183.77,41.63,352.58,0,0,3482.52,95.31,0
31.72,32.25,3.06,0.29,183.76,41.47,353.11,0,0,3481.77,95.17,0
31.68,32.19,3.02,0.29,185.1,41.38,355.47,0,0,3500.52,95.73,0
31.01,32.23,2.55,0.29,186.3,41.23,353.63,0,0,3492.08,95.93,0
31.11,36.54,3.03,0.28,184.17,40.21,353.8,0,0,3496.48,95.56,0
32.37,37.54,2.45,0.28,182.27,40.17,350.9,0,0,3493.96,95.15,0
30.7,38.25,2.61,0.28,184.36,40.44,344.78,0,0,3495.89,95.6,0
0,38.5,2.31,0.29,183.38,40.24,340,0,0,3480.74,95.41,0
0,31,2.18,0.08,131.3,12.95,183.99,0,0,3472.56,95.59,0
0,32.95,2.34,0.26,154.58,35.32,320.51,0,0,3481.4,3343.08,49.02
0,31.2,2.4,0.29,180.7,39.7,327.25,0,0,3462.08,97.8,0
0,32.8,2.6,0.29,179.57,39.68,328.12,0,0,3528.8,62.15,0
0,32.25,2.28,0.3,182.82,39.72,328.18,0,0,3463.07,92.5,0
0,31,1.77,0.18,137.88,18.98,206.98,0,0,3493.72,95.63,0
0,31.63,0.98,0.3,180.03,39.56,333.01,0,0,3536.53,96.01,0
0,31.42,2.32,0.3,183.7,40.13,334.4,0,0,3502.24,96.92,0
0,32.33,2.45,0.29,183.89,39.43,338.4,0,0,3512.18,69.34,0
0,11.85,2.35,0.29,183.54,39.26,339.08,0,0,3518.27,96.12,0
0,12.15,2.69,0.3,184.61,39.56,340.12,0,0,3494.72,95.12,0
0,12.15,2.66,0.29,184.65,39.1,341.57,0,0,3505.49,94.69,0
0,12.15,2.72,0.31,184.77,40.25,336.76,0,0,3476.95,94.69,0
0,12.4,2.9,0.29,185.53,39.38,336.5,0,0,104271.33,95.04,0
0,12.5,3,0.3,186.39,39.2,340.8,0,0,0,94.57,0
0,12.45,2.98,0.3,178.29,40.26,341.66,0,0,0,95.03,0
0,12.39,2.93,0.3,179.9,39.88,334.73,0,0,0,95.69,0
0,12.15,2.87,0.3,179.61,39.42,333.13,0,0,0,95.4,0
0,12.08,2.65,0.29,182.17,39.07,334.13,0,0,0,95.46,0
0,12.1,2.54,0.29,182.31,39.12,335.13,0,0,3453.93,95.33,0
0,12.1,2.51,0.3,183.51,39.38,336.13,0,0,3450.27,95.89,0
0,12.27,2.66,0.31,182.5,39.77,334.45,0,0,3347.43,95.84,0
0,12.22,2.78,0.3,181.56,39.41,331.09,0,0,3496.43,95.56,0
0,11.89,2.36,0.3,178.41,39.12,328.25,0,0,3501.46,95.83,0
0,11.81,2.27,0.3,181.12,39.11,330.76,0,0,2973.73,95.89,0
0,12.36,3.87,0.32,182.42,39.19,331.39,0,0,2258.12,95.84,0
0,12.31,2.78,0.29,183.34,39.72,332.72,0,0,2873.37,91.97,0
0,12.02,2.59,0.29,182.58,39.38,331.62,0,0,3046.85,92.23,0
0,12,2.6,0.3,180.2,40.28,333.48,0,0,3340.48,93.86,0
0,31.45,3.23,0.29,183.19,39.65,340.37,0,0,3519.34,94.29,0
0,32.45,3.15,0.3,182.52,40.6,344.65,0,0,3520.03,95.7,0
0,31.77,3,0.28,178.52,36.65,329.66,0,0,3546.44,95.57,0
0,31.91,3.18,0.3,182.99,38.7,349,0,0,3493.37,95.93,0
0,32.14,3.19,0.28,183.01,38.64,347,0,0,3532,96.47,0
0,32,2.87,0.28,184,38.95,350.22,0,0,3520.59,95.24,0
0,33.2,2.85,0.25,172,30.16,309.29,0,0,3360.92,73.75,0
0,31.87,2.24,0.29,181.94,39.35,330.29,0,0,3412.31,94.37,0
0,32,2.96,0.3,183.91,40.33,332.88,0,0,3295.36,95.34,0
0,31.9,3.05,0.3,185.08,40.45,339.07,0,0,3522.3,95.46,0
0,32.33,3.31,0.3,183.53,40.35,333.8,0,0,3499.58,95.33,0
0,32.54,3.3,0.3,182.17,40.25,339.1,0,0,3525.43,95.29,0
0,12.6,3.31,0.3,182.31,40.27,338.88,0,0,3329.51,94.87,0
0,12.56,3.3,0.3,182.27,39.8,339.42,0,0,3239.54,94.31,0
0,12.48,3.22,0.29,182.49,39.74,337.82,0,0,3192.57,94.52,0
0,12.6,3.25,0.3,183.74,39.92,338.42,0,0,3323.11,94.8,0
0,12.49,3.12,0.3,183.46,39.56,337.88,0,0,3305.76,95.05,0
0,11.95,2.7,0.3,183.77,39.45,337.44,0,0,3333.16,94.77,0
0,11.8,2.51,0.3,182.86,39.18,341.19,0,0,3277.67,94.97,0
0,11.83,2.6,0.3,184.87,39.42,342.19,0,0,3255.88,94.73,0
0,12.6,3.25,0.29,184.53,39.45,340.39,0,0,3329.046129,94.81,0
0,12.4,3.2,0.29,184.19,39.47,337,0,0,103200.43,95.49,0
0,12.3,3.2,0.31,184.87,40.15,337.4,0,0,0,95.26,0
0,12.6,3.33,0.32,183.75,40.17,335.41,0,0,0,95.44,0
0,12.5,3.3,0.31,180.15,39.83,334.2,0,0,0,95.25,0
0,12.58,3.46,0.3,180.39,39.51,334.58,0,0,0,57.45,0
0,12.6,3.4,0.29,181.44,39.32,337.43,0,0,3102.84,59.53,0
0,12.4,3.2,0.3,181.53,40.22,333.1,0,0,3130.3,95,0
0,12.4,3.2,0.3,181.4,39.88,332.29,0,0,3088.8,95.39,0
0,12.4,3.2,0.29,182.52,39.8,336.87,0,0,3101.31,96.2,0
0,12.53,3.69,0.29,182.39,39.66,337.42,0,0,3162.1,95.63,0
0,20.04,3.12,0.3,182.44,39.32,337.25,0,0,3145.26,95.5,0
0,32.13,3.07,0.28,180.89,37.62,338.6,0,0,3157.87,95.6,0
0,24.79,3.09,0.3,182.96,40.07,336.41,0,0,2733.16,95.8,0
0,12.24,2.95,0.3,183.92,39.49,339.22,0,0,3074.27,92.05,0
0,31.37,2.65,2.37,2.39,0,94,171.89,28.22,3151.27,95.12,0
0,32.6,3.1,2.38,2.4,0,93.97,171,29.01,3198.62,95.2,0
0,31.95,3.19,2.43,2.41,0,93.98,171.14,29.01,3180.67,94.9,0
0,32.04,3.44,2.42,2.4,0,93.96,170.7,28.66,3186.08,95.1,0
0,30.7,3.28,2.42,2.4,0,93.94,168.25,29.36,3183.72,95.1,0
0,31.58,3.23,2.48,2.39,0,93.96,169.37,28.84,3158.85,95.4,0
0,31.7,3.19,2.56,2.39,0,93.93,170.7,27.85,3180.68,95.42,0
0,32.25,3.3,2.59,2.41,0,93.93,170.99,28.12,3179.8,94.93,0
0,32.25,3.35,2.6,2.4,0,93.96,169.6,28.13,3166.49,95.55,0
0,31.25,3.01,2.82,2.39,0,94.12,169.01,26.35,2527.54,95.25,0
0,31.2,3.3,2.96,2.39,0,93.88,170.23,28.13,2906.62,95.46,0
0,29.9,3.3,3.45,2.4,0,94.16,151.45,27.25,3125.89,95.37,0
0,30.19,2.58,1.9,2.35,0,94.57,166.61,21.4,3233.13,95.31,0
0,31.97,2.67,1.94,2.36,0,94.66,156.22,25.03,3307.75,86.53,0
0,30.89,2.03,2.5,2.35,0,93.49,169.34,22.12,3330.48,95.85,0
0,31.92,2.6,2.3,2.32,0,94.09,170.28,23.88,3329.55,95.77,0
0,31.58,2.81,2.39,2.4,0,93.62,170.24,27.59,3362.7,95.23,0
0,32,3.1,2.48,2.38,0,93.81,170.6,28.31,3371.47,95.04,0
0,31.65,3.66,2.46,2.37,0,93.92,170.34,27.69,3140.539667,97.35,0
0,30.47,2.76,1.84,1.97,0,88.02,156.1,19.02,94216.19,95.58,0
0,30.47,2.63,2.45,2.38,0,93.64,170.9,28.14,0,96.4,0
0,32.5,3.38,2.18,2.44,0,94.26,172,26.28,0,96.9,0
0,32.08,3.17,2.24,2.43,0,94.21,172.37,26.09,0,92.44,0
0,31.91,3.2,2.23,2.44,0,94.24,172.41,26.8,0,92.48,0
0,31.3,3.46,2.24,2.37,0,94.19,169.13,26.9,0,92.66,0
0,31.95,3.28,2.3,2.4,0,94.18,171.36,27.42,3335.97,92.81,0
0,32.1,3.1,2.44,2.41,0,94.27,171.43,26.18,3385.64,94.15,0
0,31.69,2.58,2.44,2.38,0,94.18,170.29,23.61,3370.92,94.69,0
0,31.91,2.49,2.48,2.38,0,94.19,169.66,22.82,3413.44,93.23,0
0,31.58,3.02,2.42,2.38,0,93.84,168.84,26.55,3438.01,94.19,0
0,31.75,3.1,2.39,2.39,0,93.96,170.57,28.76,3389.81,94.13,0
0,31.56,3.24,2.63,2.4,0,93.96,169.74,28.11,3463.11,94.54,0
0,31.21,2.73,2.42,2.37,0,94.06,164.96,25.08,3460.61,87.92,0
0,31.48,3.18,2.23,2.34,0,93.21,169.04,25.85,3445.22,96.15,0
0,31.91,2.79,2.4,2.38,338.14,94.12,170.45,24.94,3467.45,97.32,0
0,32.2,3.05,2.43,2.39,337.53,94.05,169,26,3501.4,97.09,0
0,31.91,3.48,2.42,2.39,332.52,94.1,170.26,27.24,3413.97,95.05,0
0,31.66,3.5,2.42,2.33,340.45,93.83,168.13,26.27,3503.83,96.7,0
0,32.29,3.64,2.43,2.36,337.81,93.75,169.85,26.98,3546.65,95.33,0
0,32.33,3.8,2.81,2.43,340.66,94.7,167.63,27.15,3509.5,95.42,0
0,32.79,3.36,2.79,2.38,342.37,94.37,168.1,26.53,3507.87,95.92,0
0,31.7,3.61,2.84,2.38,337.9,94.62,169.78,27.25,3525.76,95.6,0
0,32.5,3.52,3.12,2.38,339.81,94.84,167.4,26.26,3539.42,95.88,0
0,31.39,3.5,2.59,2.45,344.58,93.85,168.22,26.8,3357.99,95.31,0
0,31.29,3.41,2.1,2.45,345.17,94.25,169.79,26.36,3526.52,95.63,0
0,32.3,3.14,2.93,2.34,348.71,94.18,168.36,27.08,3526.63,95.7,0
0,32.68,3.5,2.39,2.38,343.71,93.71,166.79,27.78,3549.69,95.32,0
0,31.8,3.52,3.22,2.39,349.22,93.84,167.82,27.69,3552.94,95.83,0
